modified,knit_price,costing_exception_overridden,knit_version,machine,unit_cost_yarn,schedule_status,ship_to_processor,active,customer_service_rep,qty_ordered,status,ship_to,sched_enter_by,serial_number,split_from,bki,sched_done_by,purchase_order,related_dye_order_plan,job,updated_by,knitter,id,qty_shipped,requested_date,uom,qty_G00,quoted_date,knit_start,sched_enter_dt,qty_received,sched_done_dt,balance,instructions,seconds,created_by,close_dt,knit_style_base,internal_notes,created_date,note
2025-09-12 15:07:48.236101,0.50,0,"{'active': 1, 'id': 5875, 'created_date': '2024-12-03', 'version': '0', 'act_yard_cut_wt': '10.15', 'knit_style_base': 3289, 'foreign_id': 7893, 'roll_size': '50', 'target_yard_cut_wt': '10.00', 'created_time': '16:01:26.261629', 'modified': '2025-06-26 16:24:19.368616', 'price': '0.50'}",44,0,Required,4.0,1,1,2400,Open,,10,K2509038,,,,,,34475,10,1,6633,,2025-09-19,lbs,,,2025-09-13,2025-09-12 15:07:48.236101,0,,2400,,,10,,"{'active': 1, 'id': 3289, 'foreign_id': 5157, 'base_style': 'CF5459', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-12 15:07:48.236101,
2025-09-11 10:31:21.379265,0.85,0,"{'roll_size': '50', 'foreign_id': 8448, 'price': '0.85', 'modified': '2025-08-04 10:55:31.89194', 'created_time': '10:55:31.89194', 'target_yard_cut_wt': '32', 'version': '2', 'created_date': '2025-08-04', 'id': 6289, 'active': 1, 'knit_style_base': 3460, 'act_yard_cut_wt': '33.55'}",198,2.609,Required,,1,16,50,Open,,80,K2509037,,45485,,,9112.0,34425,80,1,6632,,2025-10-01,lbs,,,2025-09-19,2025-09-11 10:22:37.453194,0,,50,,,80,,"{'active': 1, 'id': 3460, 'foreign_id': 5395, 'base_style': 'C1B4761A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-11 10:22:37.453194,
2025-09-11 08:44:51.221177,0.85,0,"{'version': '3', 'created_date': '2025-08-04', 'active': 1, 'id': 6288, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'roll_size': '50', 'foreign_id': 8447, 'price': '0.85', 'modified': '2025-08-04 10:38:17.520328', 'created_time': '10:38:17.520328', 'target_yard_cut_wt': '32'}",198,2.49386,Required,,1,16,50,Open,,80,K2509036,,45482,,,9110.0,34418,80,1,6631,,2025-10-01,lbs,,,2025-09-17,2025-09-10 16:14:50.24603,0,,50,,,80,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A', 'active': 1, 'id': 3440, 'foreign_id': 5373}",,2025-09-10 16:14:50.24603,
2025-09-12 09:34:14.556517,0.85,0,"{'modified': '2025-09-12 09:33:11.950355', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:34:45.456161', 'roll_size': '50', 'foreign_id': 8446, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'created_date': '2025-08-04', 'version': '2', 'id': 6287, 'active': 1}",198,2.5027,Required,,1,16,50,Open,,80,K2509035,,45481,,,9109.0,34416,80,1,6630,,2025-10-01,lbs,,,2025-09-16,2025-09-10 15:53:34.294514,0,,50,,,80,,"{'id': 3440, 'active': 1, 'foreign_id': 5373, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A'}",,2025-09-10 15:53:34.294514,
2025-09-12 09:34:16.506772,1.25,0,"{'knit_style_base': 3503, 'act_yard_cut_wt': None, 'version': '1', 'created_date': '2025-07-31', 'id': 6283, 'active': 1, 'price': '1.25', 'modified': '2025-09-10 16:13:03.803426', 'created_time': '12:57:12.51194', 'target_yard_cut_wt': '26.0', 'roll_size': '70', 'foreign_id': 8442}",205,3.192658,Required,,1,16,70,Open,,80,K2509034,,45480,,,9108.0,34410,80,1,6629,,2025-10-01,lbs,,,2025-09-22,2025-09-10 13:30:00.507475,0,,70,,,80,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE4784A', 'id': 3503, 'active': 1, 'foreign_id': 5450}",,2025-09-10 13:30:00.507475,
2025-09-10 13:06:26.310657,1.25,0,"{'id': 6363, 'active': 1, 'version': '1', 'created_date': '2025-09-09', 'act_yard_cut_wt': None, 'knit_style_base': 3532, 'foreign_id': 8536, 'roll_size': '50', 'created_time': '13:01:59.210668', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-10 11:29:25.386043'}",15,1.66174,Required,,1,16,50,Open,,80,K2509033,,45479,,,,34402,80,1,6628,,2025-09-16,lbs,,,2025-09-15,2025-09-10 11:30:49.244401,0,,50,,,80,,"{'foreign_id': 5490, 'active': 1, 'id': 3532, 'base_style': 'CV4806A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,2025-09-10 11:30:49.244401,
2025-09-10 11:22:50.864522,1.25,0,"{'act_yard_cut_wt': None, 'knit_style_base': 3533, 'id': 6364, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '15:16:55.719858', 'modified': '2025-09-10 03:16:55.459887', 'price': '1.25', 'foreign_id': 8537, 'roll_size': '50'}",15,1.66174,Required,,1,16,50,Open,,80,K2509031,,45477,,,,34399,80,1,6626,,2025-09-16,lbs,,,2025-09-15,2025-09-10 11:01:28.554245,0,,50,,,80,,"{'active': 1, 'id': 3533, 'foreign_id': 5491, 'base_style': 'CV4810A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-10 11:01:28.554245,
2025-09-10 11:14:45.846138,1.25,0,"{'roll_size': '50', 'foreign_id': 8535, 'price': '1.25', 'modified': '2025-09-10 03:16:54.758829', 'created_time': '13:00:38.005686', 'target_yard_cut_wt': '22.00', 'version': '1', 'created_date': '2025-09-09', 'id': 6362, 'active': 1, 'knit_style_base': 3531, 'act_yard_cut_wt': None}",15,1.66174,Required,,1,16,50,Open,,80,K2509030,,45476,,,,34397,80,1,6625,,2025-09-16,lbs,,,2025-09-15,2025-09-10 10:30:52.018665,0,,50,,,80,,"{'base_style': 'CV4809A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3531, 'active': 1, 'foreign_id': 5489}",,2025-09-10 10:30:52.018665,
2025-09-10 10:27:17.302652,1.25,0,"{'active': 1, 'id': 6360, 'version': '1', 'created_date': '2025-09-09', 'act_yard_cut_wt': None, 'knit_style_base': 3530, 'foreign_id': 8533, 'roll_size': '50', 'created_time': '10:55:44.75943', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-09 14:04:31.181941'}",15,1.4,Required,,1,16,50,Open,,80,K2509029,,45475,,,,34396,80,1,6624,,2025-09-16,lbs,,,2025-09-15,2025-09-10 10:18:36.314521,0,,50,,,80,,"{'active': 1, 'id': 3530, 'foreign_id': 5488, 'base_style': 'CV4812A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,2025-09-10 10:18:36.314521,
2025-09-11 19:56:14.071764,1.25,0,"{'active': 1, 'id': 6357, 'created_date': '2025-09-05', 'version': '1DE', 'act_yard_cut_wt': '41.82', 'knit_style_base': 2131, 'foreign_id': 8529, 'roll_size': '250', 'target_yard_cut_wt': '37.50', 'created_time': '10:23:58.924877', 'modified': '2025-09-05 16:17:30.780139', 'price': '1.25'}",213,1.5356,Required,,1,19,12500,Open,,52,K2509028,,45474,,,9107.0,34395,52,1,6623,489,2025-10-08,lbs,,,2025-09-10,2025-09-10 09:45:39.868184,489,,12011,Purple,,52,,"{'base_style': 'CEE2839', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 2131, 'active': 1, 'foreign_id': 3695}",,2025-09-10 09:45:39.868184,
